step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
204,172964,204,0.016933418922222502,0.0,0.6666666666666666,,,,,
205,173845,205,0.017110233237421568,0.0,0.6666666666666666,,,,,
206,174534,206,0.016237428781354417,0.0,0.0,,,,,
207,175063,207,0.013402059728889493,1.0,1.0,,,,,
208,175848,208,0.019964312624302014,0.0,0.6666666666666666,,,,,
209,176513,209,0.015116586331360149,1.0,1.0,0.017383171015547972,0.0,0.0,,
210,177146,210,0.013810382261587572,0.0,0.0,,,,,
211,178155,211,0.014463202870072555,0.0,0.6666666666666666,,,,,
212,179260,212,0.014579836454404662,0.0,0.6666666666666666,,,,,
213,179893,213,0.01638656946667498,1.0,1.0,,,,,
214,180902,214,0.01613218511318004,0.0,0.6666666666666666,,,,,
215,181687,215,0.0176216239356659,0.0,0.0,,,,,
216,182336,216,0.017952943171716116,1.0,1.0,,,,,
217,183185,217,0.017791956570886943,0.0,0.0,0.016114511285348528,1.0,1.0,,
218,183826,218,0.016204263302088594,1.0,1.0,,,,,
219,184563,219,0.018233228406381904,0.0,0.6666666666666666,,,,,
220,185220,220,0.01830487648213365,0.0,0.6666666666666666,,,,,
221,185997,221,0.013453095162646802,1.0,1.0,,,,,
222,186998,222,0.016646583647459374,0.0,0.6666666666666666,,,,,
223,187639,223,0.01399540829737859,1.0,1.0,,,,,
224,188296,224,0.01697175432841915,1.0,1.0,,,,,
225,188945,225,0.022522097500005805,0.0,0.0,0.012530656848847684,1.0,1.0,,
226,189642,226,0.020560123598817617,0.0,0.6666666666666666,,,,,
227,190755,227,0.015317143441340266,0.0,0.0,,,,,
228,191420,228,0.015073588392521896,0.0,0.6666666666666666,,,,,
229,192205,229,0.01698622911446893,1.0,1.0,,,,,
230,192894,230,0.018211734427208984,0.0,0.6666666666666666,,,,,
231,193903,231,0.02025805397496993,0.0,0.0,,,,,
232,194800,232,0.016929044104726315,0.0,0.6666666666666666,,,,,
233,195569,233,0.016336723174021135,0.0,0.6666666666666666,0.017726667872276357,0.0,0.0,,
234,196522,234,0.015088085626065178,1.0,1.0,,,,,
235,197395,235,0.015778169413917024,0.0,0.6666666666666666,,,,,
236,198228,236,0.015884691302746376,0.0,0.6666666666666666,,,,,
237,199117,237,0.016814032399747866,1.0,1.0,,,,,
238,200038,238,0.017269661266695435,1.0,1.0,,,,,
239,200871,239,0.01898377229580657,0.0,0.0,,,,,
240,201696,240,0.01900518058816876,0.0,0.0,,,,,
241,202465,241,0.016552213690100098,1.0,1.0,0.01790013546521031,0.0,0.0,0.30000001192092896,0.17685377685377685
242,203434,242,0.01688130278986741,0.0,0.0,,,,,
243,204179,243,0.017125831737910907,0.0,0.6666666666666666,,,,,
244,204876,244,0.01677871563924351,0.0,0.6666666666666666,,,,,
245,205973,245,0.014489804684572637,1.0,1.0,,,,,
246,206782,246,0.014586777335096173,0.0,0.6666666666666666,,,,,
247,207471,247,0.021377055743860146,0.0,0.6666666666666666,,,,,
248,208328,248,0.015673370809401073,0.0,0.6666666666666666,,,,,
249,209313,249,0.013678308819537006,1.0,1.0,0.017241878596539115,1.0,1.0,,
250,210242,250,0.018387864688696944,0.0,0.6666666666666666,,,,,
251,210947,251,0.018330225787112384,0.0,0.6666666666666666,,,,,
252,211924,252,0.019408408537065883,0.0,0.0,,,,,
253,212717,253,0.01731041680396829,1.0,1.0,,,,,
254,213614,254,0.016976825524081095,1.0,1.0,,,,,
255,214575,255,0.01684855188963349,0.0,0.0,,,,,
256,215336,256,0.016808998192357386,0.0,0.0,,,,,
257,216185,257,0.01553372307061044,1.0,1.0,0.01397541842471011,0.0,0.6666666666666666,,
258,216922,258,0.015954861598836783,0.0,0.6666666666666666,,,,,
259,217995,259,0.013468840094579453,1.0,1.0,,,,,
260,218660,260,0.014582761376045672,0.0,0.6666666666666666,,,,,
261,219781,261,0.01705339155085052,1.0,1.0,,,,,
262,220582,262,0.0180282700906799,0.0,0.6666666666666666,,,,,
263,222047,263,0.015020909415604258,1.0,1.0,,,,,
264,222904,264,0.01776549271625554,0.0,0.6666666666666666,,,,,
265,223513,265,0.012791432025559348,1.0,1.0,0.0121866835692841,0.0,0.6666666666666666,,
266,224490,266,0.017664797870855977,1.0,1.0,,,,,
267,225531,267,0.014970021601182121,1.0,1.0,,,,,
268,226436,268,0.016968063817492433,0.0,0.6666666666666666,,,,,
269,227269,269,0.014432877287650667,0.0,0.6666666666666666,,,,,
270,228262,270,0.015143049666023844,1.0,1.0,,,,,
271,229231,271,0.015819335012564047,0.0,0.6666666666666666,,,,,
272,229808,272,0.011753175417582034,1.0,1.0,,,,,
273,230585,273,0.01480189130444569,1.0,1.0,0.01883868564671889,0.0,0.6666666666666666,,
274,231202,274,0.017097413870122483,0.0,0.6666666666666666,,,,,
275,231987,275,0.01668295748566365,0.0,0.6666666666666666,,,,,
276,232620,276,0.013916236009295696,1.0,1.0,,,,,
277,233461,277,0.021714521045789015,0.0,0.0,,,,,
278,234454,278,0.017494791333581162,1.0,1.0,,,,,
279,235063,279,0.013662670820809618,1.0,1.0,,,,,
280,235872,280,0.01535934926665525,0.0,0.0,,,,,
281,236713,281,0.015076173243508538,1.0,1.0,0.013926075325181527,0.0,0.0,,
282,237770,282,0.01711905426911292,0.0,0.6666666666666666,,,,,
283,238555,283,0.014926363716852471,0.0,0.6666666666666666,,,,,
284,239756,284,0.019232291881636974,0.0,0.6666666666666666,,,,,
285,240637,285,0.013955381436042889,0.0,0.6666666666666666,,,,,
286,241406,286,0.015881214463518298,1.0,1.0,,,,,
287,242239,287,0.01443950921357063,1.0,1.0,,,,,
288,243024,288,0.015255054941791728,1.0,1.0,,,,,
289,243977,289,0.01334678462562486,1.0,1.0,0.021176760721570202,0.0,0.0,,
290,244682,290,0.01782028081878378,1.0,1.0,,,,,
291,245803,291,0.016661394138942815,0.0,0.0,,,,,
292,246916,292,0.014193240479710798,0.0,0.0,,,,,
293,247781,293,0.014943726585332754,0.0,0.6666666666666666,,,,,
294,248942,294,0.018469248683508546,1.0,1.0,,,,,
295,249671,295,0.016728330413588982,0.0,0.6666666666666666,,,,,
296,250320,296,0.02203309324287721,0.0,0.0,,,,,
297,251441,297,0.01328131212942954,0.0,0.0,0.016306275183793604,0.0,0.0,,
298,252154,298,0.014630662296934856,0.0,0.6666666666666666,,,,,
299,252819,299,0.01620758141309881,0.0,0.6666666666666666,,,,,
300,253972,300,0.01857066122040985,0.0,0.6666666666666666,,,,,
301,254965,301,0.015716892705418362,0.0,0.6666666666666666,,,,,
302,255726,302,0.012274815815088772,1.0,1.0,,,,,
303,256703,303,0.016611417941004153,1.0,1.0,,,,,
304,257584,304,0.016561321414542075,0.0,0.0,,,,,
305,258489,305,0.019078951273347182,0.0,0.6666666666666666,0.01939939634324637,0.0,0.6666666666666666,,
306,259274,306,0.015338959953163369,1.0,1.0,,,,,
307,260187,307,0.012498470562460616,0.0,0.6666666666666666,,,,,
308,261028,308,0.014161783170664665,1.0,1.0,,,,,
309,261661,309,0.010083179219212191,1.0,1.0,,,,,
310,262302,310,0.012608742971685571,1.0,1.0,,,,,
311,263295,311,0.016420379192279223,1.0,1.0,,,,,
312,264288,312,0.013646783357228489,1.0,1.0,,,,,
313,265121,313,0.021302063234248114,0.0,0.6666666666666666,0.014491545118980972,1.0,1.0,,
314,265818,314,0.01625441369587699,1.0,1.0,,,,,
315,266507,315,0.016535085561474174,1.0,1.0,,,,,
316,267468,316,0.01571793192174355,1.0,1.0,,,,,
317,268517,317,0.015492344276824273,0.0,0.6666666666666666,,,,,
318,269310,318,0.01259829349910332,0.0,0.6666666666666666,,,,,
319,270063,319,0.014594829643791926,1.0,1.0,,,,,
320,271064,320,0.017475414008318806,0.0,0.6666666666666666,,,,,
321,271825,321,0.016814548666170114,0.0,0.6666666666666666,0.01456295193290511,1.0,1.0,,
322,272562,322,0.014956633688036593,0.0,0.6666666666666666,,,,,
323,273451,323,0.014517290619995486,1.0,1.0,,,,,
324,274092,324,0.01717817840061929,0.0,0.6666666666666666,,,,,
325,275045,325,0.017870542259248355,0.0,0.6666666666666666,,,,,
326,275878,326,0.016493778508124533,1.0,1.0,,,,,
327,276511,327,0.01648687948452078,0.0,0.6666666666666666,,,,,
328,277544,328,0.015910861441188088,1.0,1.0,,,,,
329,278265,329,0.02430910135180072,0.0,0.0,0.014944999541214542,1.0,1.0,,
330,279258,330,0.020378752965331613,0.0,0.0,,,,,
331,280347,331,0.017277187595533806,0.0,0.0,,,,,
332,281252,332,0.014609192633896274,1.0,1.0,,,,,
333,282261,333,0.012589733831376928,1.0,1.0,,,,,
334,283502,334,0.015768480048254485,0.0,0.6666666666666666,,,,,
335,284175,335,0.01806809366665541,0.0,0.6666666666666666,,,,,
336,285232,336,0.014634832732828545,1.0,1.0,,,,,
337,285881,337,0.016303593352065496,0.0,0.0,0.015534488071284281,0.0,0.0,,
338,286714,338,0.016128747713484576,0.0,0.0,,,,,
339,287403,339,0.016516736900309477,1.0,1.0,,,,,
340,288404,340,0.019339649700646902,1.0,1.0,,,,,
341,289077,341,0.017187062742926407,0.0,0.6666666666666666,,,,,
342,290278,342,0.014357727454896349,1.0,1.0,,,,,
343,290959,343,0.015207208337624746,0.0,0.6666666666666666,,,,,
